cent.x	cent.y	snr	iter	sum	mean	var	std	skew	kurt	bckg	"ra"	"dec"
85.13056013179572	669.3673805601318	14.0356688476182	5.0	2893.0	17.118343195266274	1167.2240067624682	34.164660202648996	3.077472486187592	12.930995660920297	0.0	49.7149947358	47.0677890825
88.33381088825215	496.20773638968484	5.0	4.0	482.0	2.8520710059171597	16.864891518737675	4.106688631822198	1.9415139365704719	8.030157498325316	0.0	49.7087107864	47.1481036365
90.34722222222223	738.5925925925926	4.364357804719848	3.0	1111.0	6.57396449704142	17.031699070160606	4.126947912218012	-0.2946294269643876	2.0671409136526577	1.0	49.7130853928	47.0355740401
101.15957446808511	822.7021276595744	4.364357804719848	3.0	1235.0	7.3076923076923075	15.880952380952381	3.985091263817227	-0.2645682315067116	2.6556256862485115	1.0	49.7077298332	46.9963584660
113.61801242236025	208.527950310559	4.58257569495584	4.0	460.0	2.7218934911242605	14.321005917159763	3.7843104942855526	1.9903912552928533	7.914993748577918	0.0	49.6845974936	47.2812017932
114.39839572192513	281.38770053475935	4.58257569495584	3.0	555.0	3.2840236686390534	17.073612285150745	4.132022783716318	1.5424414519286556	5.582955425556767	0.0	49.6858135663	47.2473734523
114.99038461538461	784.1875	4.69041575982343	4.0	621.0	3.6745562130177514	19.744646379261763	4.4434948384421205	1.5108268659644104	5.279800454936519	0.0	49.6974202526	47.0140048125
127.72254335260115	556.4739884393064	4.58257569495584	4.0	531.0	3.1420118343195265	17.49161735700197	4.182298095186661	1.5414729311655464	5.368992061704137	0.0	49.6833261029	47.1194790892
131.59655172413792	191.43103448275863	5.385164807134505	8.0	559.0	3.3076923076923075	28.11904761904762	5.302739633344977	2.475091976880536	10.394243160641514	0.0	49.6719085367	47.2888364264
147.6356350184957	320.4716399506782	8.602325267042627	10.0	1137.0	6.727810650887574	120.06832910679064	10.957569489024044	3.2313181000278544	15.522260727721209	0.0	49.6640773967	47.2286782526
150.65322580645162	773.5403225806451	4.58257569495584	3.0	370.0	2.1893491124260356	11.27345731191885	3.357596954954369	2.1186694088628406	8.926912275166561	0.0	49.6729347899	47.0183520987
155.13795637837194	758.2070835485281	41.3763217311544	3.0	27331.0	161.72189349112426	117432.79719639334	342.6846906361493	2.748572129315618	10.17993105917198	0.0	49.6695191137	47.0253933650
167.97379454926624	708.5377358490566	5.385164807134505	6.0	664.0	3.9289940828402368	30.79254719639335	5.549103278584149	2.097226400723654	8.213213560316557	0.0	49.6595985035	47.0482300914
175.57070707070707	644.4570707070707	4.58257569495584	4.0	594.0	3.514792899408284	22.786982248520708	4.773571225876986	1.5063754017891973	4.737314300200943	0.0	49.6528838790	47.0778427801
176.57179487179488	989.1358974358974	5.294651389216606	3.0	1248.0	7.384615384615385	17.94047619047619	4.235619929889388	0.3077127330518224	5.557710286524776	1.0	49.6605211110	46.9178572237
194.4921742089146	801.6568560734944	16.309620821566746	5.0	3802.0	22.497041420118343	1986.9538602423218	44.575260630110975	3.6776332282453175	17.608689336921806	1.0	49.6438296539	47.0045654905
196.9823614110871	295.99532037437007	17.464249196572982	3.0	3155.0	18.668639053254438	2026.9609749225135	45.021783337874496	3.7087149132436745	17.903398315444196	0.0	49.6298164895	47.2392045594
207.19115776081424	350.5868320610687	17.748239349298846	4.0	3522.0	20.840236686390533	2654.361228515075	51.52049328679875	3.713086368247661	17.11873111627664	0.0	49.6241899904	47.2136947694
210.34059775840598	48.00871731008717	11.704699910719624	4.0	2001.0	11.840236686390533	557.3493237531699	23.60824694366716	3.241652740303867	13.667901130519365	0.0	49.6145999201	47.3540678089
212.49604743083003	952.6541501976285	4.477215043467819	6.0	1204.0	7.124260355029586	15.430896027049874	3.9282179200051863	-0.27681503354187476	2.5355285946567254	1.0	49.6352721002	46.9341820401
